,rating,title,credit,box,year,actor
383,48,Small Soldiers,Maj. Chip Hazard,,1998,Tommy Lee Jones
384,92,Men in Black,K,,1997,Tommy Lee Jones
385,26,U.S. Marshals,Chief Deputy Marshal Sam Gerard,,1997,Tommy Lee Jones
386,48,Volcano,Mike Roark,,1997,Tommy Lee Jones
387,39,Batman Forever,Harvey Two-Face/Harvey Dent,,1995,Tommy Lee Jones
388,,The Good Old Boys,"Hewey Calloway
                                    
                                            Director",,1995,Tommy Lee Jones
389,65,Cobb,Ty Cobb,,1994,Tommy Lee Jones
390,77,Blue Sky,Hank Marshall,,1994,Tommy Lee Jones
391,47,Natural Born Killers,Dwight McClusky,,1994,Tommy Lee Jones
392,78,The Client,Roy Foltrigg,,1994,Tommy Lee Jones
393,32,Blown Away,Ryan Gaerity,,1994,Tommy Lee Jones
394,40,Heaven & Earth,Steve Butler,,1994,Tommy Lee Jones
395,96,The Fugitive,Samuel Gerard,,1993,Tommy Lee Jones
396,77,Under Siege,"Director
                                                
                                    
                                            William Strannix",,1992,Tommy Lee Jones
397,63,House of Cards,Jake Beerlander,,1992,Tommy Lee Jones
398,83,JFK,Clay Shaw,,1991,Tommy Lee Jones
399,10,Fire Birds,Brad Little,,1990,Tommy Lee Jones
400,,Lonesome Dove - The Making of An Epic,Actor,,1990,Tommy Lee Jones
401,64,The Package,Thomas Boyette,,1989,Tommy Lee Jones
402,,Gotham,Eddie Mallard,,1988,Tommy Lee Jones
403,73,Stormy Monday,Cosmo,,1988,Tommy Lee Jones
404,,April Morning,Moses Cooper,,1988,Tommy Lee Jones
405,,Stranger on My Land,Bud Whitman,,1988,Tommy Lee Jones
406,57,The Big Town,George Cole,,1987,Tommy Lee Jones
407,,"Yuri Nosenko, KGB",Steve Daley,,1986,Tommy Lee Jones
